,count,mean,std,min,25%,50%,75%,max
rev_Mean,99643.0,58.71998484590209,46.29167721145034,-6.1675,33.26,48.195,70.75,3843.2625
mou_Mean,99643.0,513.5599368913631,525.1681402900341,0.0,150.75,355.5,703.0,12206.75
totmrc_Mean,99643.0,46.1791355054201,23.62348926864886,-26.915,30.0,44.99,59.99,409.99
da_Mean,99643.0,0.8888279407484722,2.177619095848962,0.0,0.0,0.2475,0.99,159.39
ovrmou_Mean,99643.0,41.072246670614895,97.29615027442838,0.0,0.0,2.75,42.0,4320.75
ovrrev_Mean,99643.0,13.559559954035176,30.500885360020835,0.0,0.0,1.0,14.4375,1102.4
vceovr_Mean,99643.0,13.29506187924039,30.05608934390464,0.0,0.0,0.6825,14.025,896.0875
datovr_Mean,99643.0,0.2613176791144686,3.126531411108421,0.0,0.0,0.0,0.0,423.54
roam_Mean,99643.0,1.2864048988218542,14.711373820456888,0.0,0.0,0.0,0.235,3685.2
change_mou,99109.0,-13.933818237166674,276.0875086198115,-3875.0,-87.0,-6.25,63.0,31219.25
change_rev,99109.0,-1.0210666202532868,50.36320902397706,-1107.74,-7.365,-0.315,1.6425,9963.6575
drop_vce_Mean,100000.0,5.955084999990701,8.954714544175967,0.0,0.666666667,3.0,7.666666667,232.6666667
drop_dat_Mean,100000.0,0.04051999999738,0.8771362752494756,0.0,0.0,0.0,0.0,207.3333333
blck_vce_Mean,100000.0,4.02291666664383,10.672201553904209,0.0,0.0,1.0,3.666666667,385.3333333
blck_dat_Mean,100000.0,0.02577666666454,1.4902546368951637,0.0,0.0,0.0,0.0,413.3333333
unan_vce_Mean,100000.0,27.78490499993714,38.35873375122729,0.0,5.0,16.0,36.0,848.6666667
unan_dat_Mean,100000.0,0.029809999996099994,0.49697020961864785,0.0,0.0,0.0,0.0,81.66666667
plcd_vce_Mean,100000.0,144.88167666657975,158.26771079571762,0.0,38.33333333,100.3333333,198.6666667,2289.0
plcd_dat_Mean,100000.0,0.87054833332201,9.05390143334725,0.0,0.0,0.0,0.0,733.6666667
recv_vce_Mean,100000.0,55.08515166662688,86.84119817897233,0.0,5.333333333,26.66666667,71.33333333,3369.333333
recv_sms_Mean,100000.0,0.04758999999981,2.1274223855301453,0.0,0.0,0.0,0.0,517.3333333
comp_vce_Mean,100000.0,108.89253499994095,118.58007885194796,0.0,28.66666667,75.66666667,149.6666667,1894.333333
comp_dat_Mean,100000.0,0.7744416666555499,8.129844210108715,0.0,0.0,0.0,0.0,559.3333333
custcare_Mean,100000.0,1.7908383333195297,5.315570190420234,0.0,0.0,0.0,1.666666667,675.3333333
ccrndmou_Mean,100000.0,4.66687999998327,12.761952905427641,0.0,0.0,0.0,4.0,861.3333333
cc_mou_Mean,100000.0,3.6833279166653297,10.539981445482157,0.0,0.0,0.0,2.873333333,602.95
inonemin_Mean,100000.0,29.766549999958222,55.833753318257145,0.0,2.666666667,12.33333333,35.66666667,3086.666667
threeway_Mean,100000.0,0.28471999997793,1.0921008315381318,0.0,0.0,0.0,0.333333333,66.0
mou_cvce_Mean,100000.0,227.76351976660973,264.403894115756,0.0,49.05083333,146.2033333,309.47750002500004,4514.453333
mou_cdat_Mean,100000.0,1.8440359166544502,23.733226187877147,0.0,0.0,0.0,0.0,3032.05
mou_rvce_Mean,100000.0,111.65456244990713,162.69128479975635,0.0,7.65,50.2,149.452500025,3287.25
owylis_vce_Mean,100000.0,24.75331999999844,34.414822476810684,0.0,3.0,13.0,33.0,644.3333333
mouowylisv_Mean,100000.0,28.46786511663529,48.96290327136388,0.0,2.376666667,11.97666667,34.174166665,1802.706667
iwylis_vce_Mean,100000.0,7.894359999986901,16.145590464187666,0.0,0.0,2.0,8.666666667,519.3333333
mouiwylisv_Mean,100000.0,18.19303686665985,41.42146196031777,0.0,0.0,3.21,18.25,1703.536667
peak_vce_Mean,100000.0,88.48028500001251,103.06610306321085,0.0,21.66666667,60.33333333,118.6666667,2090.666667
peak_dat_Mean,100000.0,0.35816166666152,4.065629678339243,0.0,0.0,0.0,0.0,281.0
mou_peav_Mean,100000.0,174.08078809996243,207.67355275890347,0.0,37.642499997499996,115.3666667,233.2233333,4015.346667
mou_pead_Mean,100000.0,0.7078320166552,8.41015111802556,0.0,0.0,0.0,0.0,1036.053333
opk_vce_Mean,100000.0,66.00349833329493,91.45688465318659,0.0,10.33333333,34.33333333,86.33333333,1643.333333
